=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.05 11:18:20 =~=~=~=~=~=~=~=~=~=~=~=
0, 10
273046,
19668, 1136.00, 19.48
19693, 1130.00, 19.38
19717, 1136.00, 19.48
19740, 1136.00, 19.48
19765, 1134.00, 19.45
19788, 1134.00, 19.45
19812, 1136.00, 19.48
19836, 1134.00, 19.45
19860, 1134.00, 19.45
19884, 1136.00, 19.48
19908, 1136.00, 19.48
19932, 1134.00, 19.45
19956, 1128.00, 19.35
19980, 1134.00, 19.45
20003, 1134.00, 19.45
20028, 1133.00, 19.43
20051, 1134.00, 19.45
20075, 1133.00, 19.43
20100, 1134.00, 19.45
20123, 1134.00, 19.45
20147, 1135.00, 19.47
20171, 1133.00, 19.43
20195, 1133.00, 19.43
20219, 1130.00, 19.38
20243, 1136.00, 19.48
20267, 1135.00, 19.47
20291, 1130.00, 19.38
20315, 1134.00, 19.45
20338, 1134.00, 19.45
20363, 1134.00, 19.45
20386, 1133.00, 19.43
20410, 1133.00, 19.43
20434, 1133.00, 19.43
20458, 1133.00, 19.43
20482, 1134.00, 19.45
20506, 1136.00, 19.48
20530, 1133.00, 19.43
20554, 1127.00, 19.33
20578, 1134.00, 19.45
20601, 1134.00, 19.45
20626, 1133.00, 19.43
20649, 1136.00, 19.48
20673, 1134.00, 19.45
20698, 1134.00, 19.45
20721, 1134.00, 19.45
20745, 1134.00, 19.45
20769, 1134.00, 19.45
20793, 1136.00, 19.48
20817, 1129.00, 19.36
20841, 1133.00, 19.43
20865, 1136.00, 19.48
20889, 1128.00, 19.35
20913, 1134.00, 19.45
20936, 1134.00, 19.45
20961, 1136.00, 19.48
20984, 1134.00, 19.45
21008, 1133.00, 19.43
21032, 1133.00, 19.43
21056, 1136.00, 19.48
21080, 1134.00, 19.45
21104, 1136.00, 19.48
21128, 1134.00, 19.45
21152, 1127.00, 19.33
21176, 1134.00, 19.45
21199, 1134.00, 19.45
21224, 1128.00, 19.35
21248, 1136.00, 19.48
21271, 1133.00, 19.43
21296, 1133.00, 19.43
21319, 1134.00, 19.45
21343, 1136.00, 19.48
21367, 1135.00, 19.47
21391, 1134.00, 19.45
21414, 1136.00, 19.48
21439, 1135.00, 19.47
21463, 1134.00, 19.45
21487, 1130.00, 19.38
21511, 1133.00, 19.43
21534, 1134.00, 19.45
21559, 1134.00, 19.45
21582, 1136.00, 19.48
21606, 1136.00, 19.48
21630, 1133.00, 19.43
21654, 1136.00, 19.48
21678, 1133.00, 19.43
21702, 1136.00, 19.48
21726, 1136.00, 19.48
21750, 1130.00, 19.38
21774, 1133.00, 19.43
21797, 1136.00, 19.48
21822, 1130.00, 19.38
21846, 1135.00, 19.47
21869, 1136.00, 19.48
21894, 1136.00, 19.48
21917, 1136.00, 19.48
21941, 1134.00, 19.45
21965, 1136.00, 19.48
21989, 1133.00, 19.43
22012, 1134.00, 19.45
22037, 1136.00, 19.48
22061, 1136.00, 19.48
22085, 1130.00, 19.38
22109, 1133.00, 19.43
22132, 1136.00, 19.48
22157, 1134.00, 19.45
22180, 1136.00, 19.48
22204, 1133.00, 19.43
22228, 1134.00, 19.45
22252, 1136.00, 19.48
22276, 1136.00, 19.48
22300, 1136.00, 19.48
22324, 1134.00, 19.45
22348, 1131.00, 19.40
22372, 1134.00, 19.45
22395, 1136.00, 19.48
22420, 1130.00, 19.38
22444, 1136.00, 19.48
22467, 1133.00, 19.43
22492, 1134.00, 19.45
22515, 1133.00, 19.43
22539, 1134.00, 19.45
22563, 1133.00, 19.43
22587, 1136.00, 19.48
22610, 1134.00, 19.45
